id,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,net_profit_margin,operating_profit_margin,revenue_growth_pct,profit_growth_pct,health_score,health_band
61,ABB,Dec 2012,1653,1451,202.0,12.0,33,0,19,215,33.0,145,68.0,25.0,8.771929824561402,12.220205686630369,,,6.297640653357531,Poor
62,ABB,Mar 2014,2276,2009,267.0,12.0,49,0,22,295,33.0,198,93.0,25.0,8.699472759226714,11.731107205623902,37.68905021173623,36.55172413793104,20.97732885938864,Poor
63,ABB,Mar 2015,2289,1977,312.0,14.0,48,0,15,344,34.0,229,108.0,29.0,10.004368719965049,13.630406290956751,0.5711775043936829,15.656565656565657,10.335981135468408,Poor
64,ABB,Mar 2016,2614,2250,365.0,14.0,50,3,14,398,36.0,255,120.0,29.0,9.755164498852334,13.963274674827849,14.19833988641328,11.353711790393017,12.225942087465313,Poor
65,ABB,Mar 2017,2903,2505,398.0,14.0,57,2,16,436,37.0,277,130.0,31.0,9.541853255253187,13.709955218739237,11.05585309869932,8.627450980392148,10.912203358016022,Poor
66,ABB,Mar 2018,3298,2774,525.0,16.0,117,4,16,621,35.0,401,189.0,29.0,12.15888417222559,15.918738629472406,13.60661384774371,44.7653429602888,20.0976782021159,Poor
67,ABB,Mar 2019,3679,3074,605.0,16.0,113,2,17,699,36.0,450,212.0,31.0,12.231584669747214,16.444686055993476,11.552456033959979,12.219451371571077,13.357262698828418,Poor
68,ABB,Mar 2020,4093,3336,757.0,18.0,114,9,60,803,26.0,593,279.0,90.0,14.488150500855118,18.49499144881505,11.25305789616744,31.77777777777777,18.501109719690092,Poor
69,ABB,Mar 2021,4310,3388,922.0,21.0,81,18,58,926,25.0,691,325.0,85.0,16.03248259860789,21.392111368909514,5.301734668946989,16.526138279932546,15.592952780031126,Poor
70,ABB,Mar 2022,4913,3832,1082.0,22.0,83,19,66,1080,26.0,799,376.0,73.0,16.26297577854671,22.023203745165887,13.990719257540608,15.629522431259035,17.40990219487371,Poor
71,ABB,Mar 2023,5349,4143,1206.0,23.0,154,16,70,1274,25.0,949,447.0,73.0,17.74163395027108,22.546270330902974,8.874414817830246,18.77346683354193,17.615947614626652,Poor
72,ABB,Mar 2024,5849,4396,1453.0,25.0,248,12,71,1618,26.0,1201,565.0,73.0,20.533424517011454,24.84185330825782,9.347541596560106,26.55426765015807,20.792945196924418,Poor
73,ABB,TTM,6066,4519,1547.0,26.0,265,11,72,1728,,1285,605.0,,21.183646554566433,25.502802505769868,3.710035903573261,6.99417152373023,16.146776203561586,Poor
86,ADANIENSOL,Mar 2014,0,0,0.0,,0,0,0,0,0.0,0,0.0,,,,,,0.0,Poor
87,ADANIENSOL,Mar 2015,131,29,101.0,78.0,3,73,37,-5,34.0,-7,0.0,0.0,-5.343511450381679,77.09923664122137,,,21.526717557251906,Poor
88,ADANIENSOL,Mar 2016,2194,267,1927.0,88.0,70,957,560,480,23.0,368,3.0,0.0,16.773017319963536,87.83044667274385,1574.8091603053435,-5357.142857142857,0.0,Poor
89,ADANIENSOL,Mar 2017,2876,893,1983.0,69.0,22,904,569,532,22.0,416,4.0,0.0,14.464534075104313,68.94993045897078,31.084776663628077,13.043478260869556,33.84999034512205,Poor
90,ADANIENSOL,Mar 2018,3944,1118,2826.0,72.0,111,886,579,1472,22.0,1143,10.0,0.0,28.98073022312373,71.65314401622717,37.134909596662034,174.7596153846154,72.56906726806076,Good
91,ADANIENSOL,Mar 2019,7305,4528,2778.0,38.0,336,1391,882,840,33.0,559,5.0,0.0,7.652292950034223,38.02874743326489,85.21805273833671,-51.0936132983377,20.529200002989533,Poor
92,ADANIENSOL,Mar 2020,11416,7158,4258.0,37.0,261,2238,1174,1107,36.0,706,7.0,0.0,6.184302733006307,37.29852838121934,56.27652292950034,26.296958855098396,29.55954569118744,Poor
93,ADANIENSOL,Mar 2021,9926,5976,3950.0,40.0,1115,2117,1329,1620,20.0,1290,11.0,0.0,12.996171670360667,39.79447914567802,-13.051857042747017,82.71954674220963,29.770733184704127,Poor
94,ADANIENSOL,Mar 2022,11258,7051,4206.0,37.0,1286,2365,1427,1700,27.0,1236,11.0,0.0,10.978859477704743,37.360099484810796,13.419302841023573,-4.1860465116279055,16.348338954633796,Poor
95,ADANIENSOL,Mar 2023,13293,8775,4518.0,34.0,1583,2781,1608,1712,25.0,1281,11.0,0.0,9.636650868878357,33.98781313473256,18.076034819683784,3.6407766990291357,17.43070150482586,Poor
96,ADANIENSOL,Mar 2024,16607,10896,5711.0,30.0,611,2767,1776,1780,33.0,1196,10.0,0.0,7.201782380923707,34.38911302462817,24.93041450387421,-6.635441061670566,16.13626331010629,Poor
97,ADANIENSOL,TTM,22099,15507,6592.0,,-844,3183,1912,653,,589,6.0,,2.665278971899181,29.829404045431918,33.07039200337207,-50.75250836120402,6.21198163363294,Poor
98,ADANIENT,Mar 2013,46375,40354,6021.0,13.0,1775,3492,2298,2005,39.0,1218,15.0,10.0,2.6264150943396225,12.983288409703503,,,4.682911051212938,Poor
99,ADANIENT,Mar 2014,54947,45564,9383.0,17.0,1157,5703,3223,1614,-64.0,2646,20.0,7.0,4.815549529546654,17.07645549347553,18.484097035040435,117.24137931034484,33.712696775983716,Poor
100,ADANIENT,Mar 2015,64465,52015,12450.0,19.0,792,7056,3522,2663,14.0,2298,18.0,8.0,3.564725044597844,19.312805398278137,17.322146796003413,-13.151927437641719,7.697303004535133,Poor
