id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,roe_score,npm_score,opm_score,de_score,interest_score,health_score_v2,health_band
22,ABB,Mar 2024,20.53,25.0,32.47,0.0224,141.75,1.1263,797.0,416.0,565.0,17.6143,73.0,83,1213.0,25.0,16.424000000000003,20.0,14.832,20.0,96.256,Excellent
90,ADANIPOWER,Mar 2024,41.37,36.0,48.28,0.8023,8.2972,0.5472,17651.0,3481.0,54.0,1.1186,0.0,34616,14170.0,25.0,20.0,20.0,8.98275,16.5944,90.57715,Excellent
136,ASIANPAINT,Mar 2024,15.66,21.0,29.68,0.1321,41.0049,1.1871,3556.0,2548.0,57.0,19.5083,58.0,2474,6104.0,24.73333333333333,12.528,16.8,14.009250000000002,20.0,88.07058333333333,Excellent
160,BAJAJ-AUTO,Mar 2024,17.18,20.0,26.61,0.066,174.4167,1.1405,6486.0,72.0,276.0,10.3806,29.0,1912,6558.0,22.175,13.744,16.0,14.505,20.0,86.42399999999999,Excellent
185,BAJAJFINSV,Mar 2024,14.13,37.0,25.85,4.7894,2.1971,0.2054,-79634.0,10960.0,51.0,37.9421,2.0,288933,-68674.0,21.541666666666668,11.304000000000002,20.0,0.0,4.3942,57.23986666666667,Average
243,BEL,Mar 2024,19.66,25.0,100.0,0.5119,476.75,125.8882,-1265.0,5924.0,5.0,0.7636,40.0,43,4659.0,25.0,15.728000000000002,20.0,11.16075,20.0,91.88875,Excellent
267,BOSCHLTD,Mar 2024,14.89,13.0,20.64,0.0032,71.7843,0.9638,1536.0,283.0,844.0,40.2133,44.0,39,1253.0,17.200000000000003,11.912,10.4,14.976,20.0,74.488,Good
279,BPCL,Mar 2024,5.99,10.0,35.51000000000001,0.7219,11.3555,2.2137,25415.0,10521.0,62.0,3.541,33.0,54599,35936.0,25.0,4.792000000000001,8.0,9.58575,20.0,67.37775,Good
291,BRITANNIA,Mar 2024,12.73,19.0,54.15,0.524,20.5976,1.8484,3050.0,477.0,89.0,16.4208,83.0,2065,2573.0,25.0,10.184,15.2,11.07,20.0,81.45400000000001,Excellent
339,COALINDIA,Mar 2024,26.26,47971.0,45.17,0.0788,11.2418,0.6019,13617.0,4486.0,61.0,1.3424,42.0,6523,18103.0,25.0,20.0,20.0,14.409,20.0,99.409,Excellent
411,EICHERMOT,Mar 2024,24.2,26.0,22.17,0.0232,114.7059,0.7154,890.0,2834.0,146.0,66.8333,35.0,419,3724.0,18.475,19.36,20.0,14.826,20.0,92.661,Excellent
455,HAL,Mar 2024,25.0,32.0,100.0,0.6181,270.8837,67.5133,1814.0,6412.0,114.0,3.98,31.0,123,8226.0,25.0,20.0,20.0,10.364249999999998,20.0,95.36425,Excellent
478,HCLTECH,Mar 2024,14.29,22.0,23.01,0.0844,46.4611,1.1102,15840.0,6608.0,58.0,12.5715,90.0,5758,22448.0,19.175,11.432,17.6,14.367,20.0,82.574,Excellent
513,HEROMOTOCO,Mar 2024,9.9,5235.0,21.14,0.0342,47.2685,1.4449,3095.0,1828.0,187.0,44.2475,75.0,606,4923.0,17.616666666666667,7.920000000000001,20.0,14.7435,20.0,80.28016666666667,Excellent
537,HINDUNILVR,Mar 2024,16.61,14659.0,20.07,0.029,57.847,0.7886,10145.0,5324.0,44.0,21.7949,96.0,1484,15469.0,16.725,13.288,20.0,14.7825,20.0,84.7955,Excellent
597,INFY,Mar 2024,17.08,24.0,29.79,0.0949,87.5234,1.1298,20117.0,5093.0,63.0,4.2548,,8359,25210.0,24.825,13.664,19.200000000000003,14.28825,20.0,91.97725,Excellent
609,IOC,Mar 2024,5.56,10.0,23.53,0.7231,10.2823,1.6084,39635.0,31464.0,30.0,1.3318,40.0,132628,71099.0,19.60833333333333,4.448,8.0,9.57675,20.0,61.63308333333333,Average
619,IRCTC,Mar 2024,26.02,34.0,34.4,0.0186,82.7368,0.701,667.0,215.0,14.0,2.0187,47.0,60,882.0,25.0,20.0,20.0,14.8605,20.0,99.8605,Excellent
640,ITC,Mar 2024,29.28,37.0,27.85,0.0041,362.9625,0.7723,18742.0,1563.0,16.0,5.9701,84.0,303,17179.0,23.208333333333336,20.0,20.0,14.96925,20.0,98.17758333333332,Excellent
696,LICI,Mar 2024,4.84,4.0,49.45,0.0,371.9375,0.1591,853.0,25269.0,66.0,1.3083,15.0,0,26122.0,25.0,3.872,3.2,15.0,20.0,67.072,Good
717,LT,Mar 2024,7.03,14.0,77.66999999999999,0.1035,3.5442,8.0276,20445.0,2179.0,95.0,66.7267,36.0,2071,18266.0,25.0,5.6240000000000006,11.2,14.22375,7.0884,63.13615000000001,Average
729,LTIM,Mar 2024,12.91,18.0,22.9,0.1035,31.9324,1.2895,1752.0,3918.0,155.0,66.7267,42.0,2071,5670.0,19.08333333333333,10.328,14.4,14.22375,20.0,78.03508333333333,Good
789,NESTLEIND,Mar 2024,16.12,24.0,100.0,0.1033,41.1862,2.3182,2938.0,1237.0,41.0,3.4792,79.0,345,4175.0,25.0,12.896,19.200000000000003,14.22525,20.0,91.32125,Excellent
837,PFC,Mar 2024,28.92,37.0,26.16,8.5219,0.5804,0.0881,-101229.0,3409.0,60.0,3.0651,23.0,861961,-97820.0,21.8,20.0,20.0,0.0,1.1608,62.9608,Average
849,PIDILITIND,Mar 2024,14.11,22.0,20.78,0.0454,54.3333,1.0254,955.0,1769.0,34.0,16.4843,47.0,382,2724.0,17.31666666666667,11.288,17.6,14.6595,20.0,80.86416666666668,Excellent
905,PNB,Mar 2024,8.4,,61.31999999999999,3.6843,,1.507,-29445.0,1506.0,8.0,5.7435,18.0,55017,-27939.0,25.0,6.720000000000001,,0.0,,31.72,Poor
945,RECLTD,Mar 2024,29.77,101.0,20.4,6.4249,1.6005,0.0867,-59554.0,1831.0,54.0,2.6339,30.0,445568,-57723.0,17.0,20.0,20.0,0.0,3.201,60.201,Average
1040,TATAMOTORS,Mar 2024,7.26,14.0,37.46,1.2631,6.5302,1.1851,45133.0,22782.0,94.0,11.0859,7.0,107262,67915.0,25.0,5.808,11.2,5.526750000000001,13.0604,60.59515,Average
1076,TCS,Mar 2024,19.14,27.0,50.94,0.0886,87.0951,1.6559,50429.0,6091.0,127.0,24.997,58.0,8021,44338.0,25.0,15.312,20.0,14.3355,20.0,94.6475,Excellent
1112,TITAN,Mar 2024,6.84,10.0,37.22,1.6531,9.412,1.6193,1506.0,189.0,39.0,10.5539,28.0,15528,1695.0,25.0,5.472,8.0,2.60175,18.824,59.89775,Average
1124,TORNTPHARM,Mar 2024,15.44,31.0,24.15,0.5866,9.9266,0.7396,3106.0,160.0,49.0,4.0568,57.0,4022,3266.0,20.125,12.352,20.0,10.6005,19.8532,82.9307,Excellent
1136,TRENT,Mar 2024,11.94,16.0,36.31,0.4309,8.0435,1.7279,841.0,508.0,42.0,11.3,8.0,1753,1349.0,25.0,9.552,12.8,11.76825,16.087,75.20725,Good
1148,TVSMOTOR,Mar 2024,4.54,14.0,26.22,3.8334,2.9077,0.9315,-2254.0,1001.0,36.0,14.1333,23.0,26006,-1253.0,21.85,3.632,11.2,0.0,5.8154,42.4974,Weak
1184,INDIGO,Mar 2024,11.85,16331.0,100.0,0.0186,22.6126,56.3863,9424.0,11759.0,212.0,1.9062,0.0,17,21183.0,25.0,9.48,20.0,14.8605,20.0,89.3405,Excellent
