id_x,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,roe_score,npm_score,opm_score,de_score,interest_score,health_score_v2,health_band,id_y,broad_sector,sub_sector,index_weight_pct,market_cap_category,sector_avg_score,difference_from_sector
22,ABB,Mar 2024,20.53,25.0,32.47,0.0224,141.75,1.1263,797.0,416.0,565.0,17.6143,73.0,83,1213.0,25.0,16.424000000000003,20.0,14.832,20.0,96.256,Excellent,1.0,Industrials,Capital Goods,0.81,Large Cap,67.22274393939394,29.033256060606064
23,ABB,Mar 2024,20.53,25.0,32.47,0.0224,141.75,1.1263,1095.0,4943.0,565.0,17.6143,73.0,83,6038.0,25.0,16.424000000000003,20.0,14.832,20.0,96.256,Excellent,1.0,Industrials,Capital Goods,0.81,Large Cap,67.22274393939394,29.033256060606064
34,ADANIENSOL,Mar 2024,7.199999999999999,30.0,9.46,2.9325,2.2848,0.2837,1095.0,4943.0,10.0,1.1337,0.0,37070,6038.0,7.883333333333335,5.76,20.0,0.0,4.5696,38.21293333333333,Weak,2.0,Energy,Power & Utilities,0.65,Large Cap,59.94611547619048,-21.733182142857146
46,ADANIENT,Mar 2024,3.46,12.0,8.53,1.6714,2.7493,0.6004,-8455.0,18767.0,28.0,34.2772,5.0,65310,10312.0,7.108333333333333,2.768,9.6,2.4645,5.4986,27.439433333333337,Poor,3.0,Industrials,Conglomerates,1.5,Large Cap,67.22274393939394,-39.783310606060596
54,ADANIGREEN,Mar 2024,13.67,79.0,12.81,6.5953,1.7139,0.1047,-13347.0,21060.0,7.0,0.6208,0.0,64858,7713.0,10.675,10.936,20.0,0.0,3.4278,45.0388,Weak,4.0,Energy,Renewable Energy,1.23,Large Cap,59.94611547619048,-14.907315476190476
66,ADANIPORTS,Mar 2024,30.34,58.0,15.35,0.9373,5.9495,0.2283,8250.0,6768.0,38.0,12.2171,16.0,49470,15018.0,12.791666666666666,20.0,20.0,7.97025,11.899,72.66091666666667,Good,5.0,Industrials,Infrastructure,2.12,Large Cap,67.22274393939394,5.438172727272729
78,ADANIPORTS,Mar 2024,30.34,58.0,15.35,0.9373,5.9495,0.2283,8250.0,6768.0,38.0,12.2171,16.0,49470,15018.0,12.791666666666666,20.0,20.0,7.97025,11.899,72.66091666666667,Good,5.0,Industrials,Infrastructure,2.12,Large Cap,67.22274393939394,5.438172727272729
90,ADANIPOWER,Mar 2024,41.37,36.0,48.28,0.8023,8.2972,0.5472,17651.0,3481.0,54.0,1.1186,0.0,34616,14170.0,25.0,20.0,20.0,8.98275,16.5944,90.57715,Excellent,6.0,Energy,Power & Utilities,3.01,Large Cap,59.94611547619048,30.631034523809525
101,AMBUJACEM,Mar 2024,14.29,19.0,11.43,0.0169,28.2645,0.5081,-3295.0,8941.0,16.0,9.4218,12.0,699,5646.0,9.525,11.432,15.2,14.87325,20.0,71.03025,Good,7.0,Materials,Cement,2.82,Large Cap,68.13507833333333,2.89517166666667
113,APOLLOHOSP,Mar 2024,4.91,13.0,13.48,0.7689,5.5657,1.1384,383.0,1537.0,63.0,9.6333,26.0,5333,1920.0,11.233333333333334,3.928,10.4,9.23325,11.1314,45.925983333333335,Weak,8.0,Healthcare,Healthcare,0.62,Large Cap,76.76491944444444,-30.83893611111111
136,ASIANPAINT,Mar 2024,15.66,21.0,29.68,0.1321,41.0049,1.1871,3556.0,2548.0,57.0,19.5083,58.0,2474,6104.0,24.73333333333333,12.528,16.8,14.009250000000002,20.0,88.07058333333333,Excellent,9.0,Materials,Paints & Coatings,1.13,Large Cap,68.13507833333333,19.935505000000006
137,ASIANPAINT,Mar 2024,15.66,21.0,29.68,0.1321,41.0049,1.1871,3556.0,2548.0,57.0,19.5083,58.0,2474,6104.0,24.73333333333333,12.528,16.8,14.009250000000002,20.0,88.07058333333333,Excellent,9.0,Materials,Paints & Coatings,1.13,Large Cap,68.13507833333333,19.935505000000006
160,BAJAJ-AUTO,Mar 2024,17.18,20.0,26.61,0.066,174.4167,1.1405,6486.0,72.0,276.0,10.3806,29.0,1912,6558.0,22.175,13.744,16.0,14.505,20.0,86.42399999999999,Excellent,12.0,Consumer Discretionary,Two Wheelers,3.9,Large Cap,70.4258011111111,15.998198888888894
161,BAJAJ-AUTO,Mar 2024,17.18,20.0,26.61,0.066,174.4167,1.1405,6486.0,72.0,276.0,10.3806,29.0,1912,6558.0,22.175,13.744,16.0,14.505,20.0,86.42399999999999,Excellent,12.0,Consumer Discretionary,Two Wheelers,3.9,Large Cap,70.4258011111111,15.998198888888894
173,AXISBANK,Mar 2024,22.73,11952.0,15.83,8.2491,1.6912,0.072,-14556.0,9001.0,81.0,25.4494,1.0,1295302,-5555.0,13.191666666666666,18.184,20.0,0.0,3.3824,54.75806666666666,Average,11.0,Financials,Private Banks,2.97,Large Cap,51.276482692307695,3.481583974358962
185,BAJAJFINSV,Mar 2024,14.13,37.0,25.85,4.7894,2.1971,0.2054,-79634.0,10960.0,51.0,37.9421,2.0,288933,-68674.0,21.541666666666668,11.304000000000002,20.0,0.0,4.3942,57.23986666666667,Average,13.0,Financials,Diversified Financials,2.12,Large Cap,51.276482692307695,5.963383974358976
