id,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,profit_growth_pct,health_score_v2
72,ABB,Mar 2024,5849,4396,1453.0,25.0,248,12,71,1618,26.0,1201,565.0,73.0,26.55426765015807,96.256
131,ADANIPORTS,Mar 2024,26711,11121,15589.0,58.0,671,2733,3888,9639,16.0,8104,38.0,16.0,50.324615099239466,72.66091666666667
157,ADANIPOWER,Mar 2024,50351,32124,18228.0,36.0,9883,3388,3931,20792,0.0,20829,54.0,0.0,94.17358068425467,90.57715
170,AMBUJACEM,Mar 2024,33160,26760,6400.0,19.0,1401,276,1623,5901,20.0,4738,16.0,12.0,56.67989417989418,71.03025
196,ASIANPAINT,Mar 2024,35495,27910,7585.0,21.0,821,205,853,7348,24.0,5558,57.0,58.0,32.491060786650785,88.07058333333333
217,BAJAJ-AUTO,Mar 2024,44870,36106,8765.0,20.0,1700,60,365,10040,23.0,7708,276.0,29.0,27.1947194719472,86.42399999999999
256,BAJAJHLDNG,Mar 2024,1702,140,1562.0,92.0,5967,2,34,7493,2.0,7365,653.0,20.0,48.90820865345733,86.30766666666666
267,BAJFINANCE,Mar 2024,54972,18886,16099.0,19987.0,36,6,683,19310,25.0,14451,233.0,15.0,25.573514077163708,75.7
306,BEL,Mar 2024,20268,15217,5051.0,25.0,670,12,443,5266,25.0,3985,5.0,40.0,33.45612860013396,91.88875
332,BOSCHLTD,Mar 2024,16727,14632,2095.0,13.0,1566,51,430,3181,22.0,2490,844.0,44.0,74.85955056179776,74.488
345,BPCL,Mar 2024,448083,404001,44082.0,10.0,3032,4149,6771,36194,26.0,26859,62.0,33.0,1160.3941811356171,67.37775
384,CHOLAFIN,Mar 2024,19163,9231,5385.0,4548.0,24,255,198,4605,26.0,3420,41.0,5.0,28.330206378986865,68.83
397,CIPLA,Mar 2024,25774,90,19483.0,6291.0,24,552,1051,5702,27.0,4154,51.0,25.0,46.62901517825626,80.69758333333334
449,DLF,Mar 2024,6427,4303,2124.0,33.0,531,356,148,2151,24.0,2724,11.0,45.0,33.92330383480826,74.75463333333333
475,DRREDDY,Mar 2024,28011,20078,7933.0,28.0,909,171,1470,7201,23.0,5578,67.0,12.0,23.76303527845573,86.84625
488,EICHERMOT,Mar 2024,16536,12206,4329.0,26.0,1521,51,598,5202,23.0,4001,146.0,35.0,37.30267673301304,92.661
540,HAL,Mar 2024,30381,20631,9749.0,32.0,1899,43,1406,10199,26.0,7595,114.0,31.0,30.70039580106694,95.36425
604,HEROMOTOCO,Mar 2024,37789,76,32554.0,5235.0,14,689,757,5090,26.0,3742,187.0,75.0,33.64285714285715,80.28016666666667
734,IOC,Mar 2024,776352,700706,75646.0,10.0,5389,7881,15866,57288,25.0,43161,30.0,40.0,268.7713602187286,61.63308333333333
784,JINDALSTEL,Mar 2024,50354,40153,10202.0,20.0,156,1294,2822,6241,5.0,5943,58.0,3.0,49.54705586311021,64.83645000000001
787,JIOFIN,Mar 2024,1855,296,1559.0,84.0,429,10,22,1956,18.0,1605,3.0,0.0,5077.419354838709,75.95833333333333
846,LODHA,Mar 2024,10316,7651,2665.0,26.0,48,482,204,2028,23.0,1554,16.0,,217.14285714285717,62.41661666666667
859,LT,Mar 2024,221113,191248,29865.0,14.0,3847,9512,3682,20517,24.0,15547,95.0,36.0,24.06831058973744,63.13615000000001
898,MARUTI,Mar 2024,141858,123232,18626.0,13.0,4248,194,5256,17424,23.0,13488,429.0,29.0,63.21393998063891,66.1225
937,NESTLEIND,Mar 2024,24394,18581,5813.0,24.0,159,145,538,5289,26.0,3933,41.0,79.0,31.14371457152385,91.32125
976,ONGC,Mar 2024,591396,488561,102835.0,17.0,12982,10194,28763,76860,26.0,57101,39.0,31.0,74.20525962535847,67.03666666666666
989,PFC,Mar 2024,91508,-27,33573.0,37.0,69,57962,53,33588,21.0,26461,60.0,23.0,24.93979885735871,62.9608
1002,PIDILITIND,Mar 2024,12383,9675,2708.0,22.0,63,51,341,2379,27.0,1747,34.0,47.0,35.53141970519782,80.86416666666668
1041,RECLTD,Mar 2024,47517,-366,47883.0,101.0,48,29948,24,17960,21.0,14145,54.0,30.0,26.667860660875785,60.201
1157,TATAMOTORS,Mar 2024,437928,378389,59538.0,14.0,5673,9986,27270,27955,-14.0,31807,94.0,7.0,1082.416356877323,60.59515
1235,TORNTPHARM,Mar 2024,10728,7360,3368.0,31.0,146,354,808,2352,30.0,1656,49.0,57.0,33.01204819277108,82.9307
1248,TRENT,Mar 2024,12375,10404,1971.0,16.0,989,368,671,1921,23.0,1477,42.0,8.0,274.8730964467005,75.20725
1274,ULTRACEMCO,Mar 2024,70908,57940,12969.0,18.0,567,968,3145,9422,26.0,7004,243.0,29.0,38.06426177804061,65.57591666666667
